,literal,inicio,fim,varinicio,varfim,inteiro,real,leia,escreva,se,fimse,pt_v,id,vir,lit,num,atr,opa,ab_p,fc_p,então,opr,$,P,V,A,L,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CAB,CP,EXP_R
0,E0,s2,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,1,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,acc,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
2,E2,E2,E2,s4,E2,E2,E2,E2,E2,E2,E2,E2,,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,3,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2
3,E3,E3,s18,E3,E3,E3,E3,s29,s37,s19,E3,E3,s43,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,41,E3,E3,E3,E3,42,E3,46,E3,E3,47,35,E3,E3
4,s7,E4,E4,E4,s8,s5,s6,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,10,11,12,E4,E4,E4,E4,E4,E4,E4,E4,E4
5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,r9,r9,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5
6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,r10,r10,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6
7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,r11,r11,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7
8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,s9,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8
9,E9,E9,r5,E9,E9,E9,E9,r5,r5,r5,E9,r5,r5,E9,E9,E9,r5,E9,r5,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
10,E10,E10,r3,E10,E10,E10,E10,r3,r3,r3,E10,r3,r3,E10,E10,E10,r3,E10,r3,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10
